"site_water_day","site_6614800","site_6696980","site_6714800","site_6746095","site_7083000","site_7083200","site_9022000","site_9024000","site_9025000","site_9025300","site_9026500","site_9032000","site_9032100","site_9034900","site_9035500","site_9035700","site_9035800","site_9035900","site_9046490","site_9047700","site_9051050","site_9063900","site_9064000","site_9065100","site_9065500","site_9066000","site_9066200","site_9066300","site_9067000","site_9067200","site_9072550","site_9073005","site_9074000","site_9132985","site_9132995","site_9134000","site_9143500","site_9306242","site_9358550"
28,0.368036658537969,0,0.381786917030568,0.63476556170556,0.4019691,0,0.4399265,0.7221608,0.1313675,0.2601968,0.5225599,0.4236654,0.4548206,0.3609826,0.304124,0.3944893,0.3044756,0.4861039,0.2836115,0.3617282,0.4630728,0.648506,0.1586762,0,0.5739426,0.2251992,0.2246929,0.1600795,0.272464,0.5012309,0.004184396,0.177665,0.2605088,0.0494052,0.02056332,0.09400968,0.4220154,0.00445579,0.7566419
29,0.368036658537969,0,0.386510054148472,0.63476556170556,0.4019691,0,0.4255322,0.5099619,0.07854966,0.237571,0.4105827,0.3547076,0.4509333,0.3592958,0.3317716,0.5072005,0.3044756,0.5964253,0.3104095,0.3617282,0.5390537,0.5863205,0.1586762,0,0.5504898,0.2592058,0.2567919,0.1680042,0.2705362,0.530148,0.004184396,0.1682813,0.323937,0.05928624,0.03341539,0.09129133,0.3435009,0.004752842,0.7801401
30,0.368036658537969,0,0.386510054148472,0.63476556170556,0.4019691,0,0.4102382,0.3220632,0.09378559,0.2036323,0.2707549,0.2012056,0.4548206,0.3592958,0.04031946,0.3086141,0.3077032,0.5274744,0.3305079,0.341058,0.528786,0.5093289,0.163187,0,0.5433236,0.2728084,0.291948,0.1759289,0.2596119,0.5262924,0.004184396,0.1689069,0.3262023,0.06323866,0.0353432,0.08857298,0.3385937,0.004752842,0.7895393
31,0.368036658537969,0,0.369191884716157,0.649807399660668,0.4260873,0,0.3877471,0.2881798,0.1012343,0.1866629,0.2518049,0.2115965,0.4489896,0.3441143,0.04089546,0.2764109,0.3163103,0.492999,0.3550727,0.3162538,0.4759074,0.4634301,0.1684939,0,0.5263855,0.2962352,0.3148758,0.1664193,0.282103,0.5359315,0.004184396,0.1770394,0.323937,0.05138141,0.03084498,0.09151786,0.3435009,0.005049895,0.7660411
32,0.368036658537969,0,0.357384041921397,0.63476556170556,0.4823629,0,0.3769513,0.2676444,0.09209271,0.1696935,0.2322807,0.207818,0.4314965,0.3339933,0.04838336,0.2790945,0.3044756,0.4585235,0.3640054,0.3276224,0.444591,0.4678719,0.178577,0,0.4970695,0.2848996,0.3011191,0.1489849,0.2474024,0.5224368,0,0.1676557,0.3035493,0,0.02698935,0.08517504,0,0.004158737,0.7331437
33,0.368036658537969,0,0.369979074235808,0.63476556170556,0.5225599,0,0.3985428,0.2464245,0.09006125,0.1583806,0.2452012,0.1842023,0.4237218,0.3323064,0.04838336,0.2844617,0.3077032,0.4274956,0.3282748,0.3100528,0.442024,0.4663913,0.1857413,0,0.4697078,0.2780983,0.2797198,0.1347204,0.2287669,0.4877362,0,0.165779,0.2786311,0,0.0173503,0.08132404,0,0.003861684,0.6955466
34,0.374170602846935,0,0.37234064279476,0.649807399660668,0.5627568,0,0.3958439,0.2361569,0.08532119,0.1470677,0.2325678,0.1832577,0.4237218,0.3306196,0.0524153,0.2951961,0.3087791,0.4861039,0.3305079,0.2997177,0.4563988,0.5093289,0.1894562,0,0.5029327,0.278854,0.3148758,0.1363053,0.2551137,0.4973753,0,0.1701581,0.2990188,0,0.02024202,0.07996486,0,0.003564632,0.6626491
35,0.374170602846935,0,0.353448094323144,0.649807399660668,0.5627568,0,0.3796503,0.2440288,0.08464403,0.1357548,0.2322807,0.1827854,0.4276091,0.3238723,0.1727977,0.2844617,0.3012479,0.4826563,0.3282748,0.282148,0.4435642,0.5507859,0.1812305,0,0.535506,0.2818768,0.3408607,0.1394752,0.2795326,0.4973753,0,0.1726604,0.3035493,0,0.02056332,0.07928528,0,0.003267579,0.6626491
36,0.361902714229002,0,0.3605328,0.649807399660668,0.5627568,0,0.3634566,0.2306808,0.08532119,0.1300984,0.2403201,0.18373,0.4256654,0.3171249,0.09215877,0.2764109,0.3044756,0.4792088,0.317109,0.284215,0.4302162,0.5759562,0.1775157,0,0.5224767,0.278854,0.327104,0.1347204,0.2769622,0.4993031,0,0.1820441,0.2876923,0,0.02120592,0.07634039,0,0.002970526,0.6673487
37,0.355768769920036,0,0.355022473362445,0.649807399660668,0.5426583,0,0.3544602,0.2317075,0.08362831,0.1187855,0.2291224,0.1870362,0.4295528,0.3188118,0.04665538,0.2560155,0.3023238,0.4861039,0.3148758,0.3007512,0.4363768,0.6174132,0.1740662,0,0.5667765,0.2720527,0.3576745,0.1363053,0.2531859,0.4973753,0,0.1889255,0.285427,0,0.01863551,0.07520775,0,0.002970526,0.6485502
38,0.34963482561107,0,0.341640251528384,0.649807399660668,0.5225599,0,0.3373669,0.2228089,0.08328973,0.1074726,0.2176376,0.1889255,0.4314965,0.3171249,0.04377542,0.2425975,0.2980203,0.4792088,0.3238085,0.2914496,0.4204619,0.6336999,0.1711474,0,0.6332261,0.2773426,0.3989446,0.1473999,0.2647527,0.5012309,0,0.1795418,0.2922229,0,0.0176716,0.07520775,0,0.002970526,0.6485502
39,0.34963482561107,0,0.33612992489083,0.649807399660668,0.5225599,0,0.3643563,0.2313653,0.1076672,0.09615968,0.2285482,0.1856193,0.4276091,0.3086907,0.04780736,0.2393772,0.2861855,0.4654186,0.3081763,0.2976507,0.4091674,0.5818786,0.1684939,0,0.5830631,0.2886781,0.391302,0.1347204,0.2666805,0.4838806,0,0.1707836,0.2695699,0,0.0173503,0.07588733,0,0.002970526,0.6391509
40,0.343500881302104,0,0.320386134497817,0.649807399660668,0.5225599,0,0.3940446,0.2378681,0.1394934,0.08484677,0.2268254,0.1827854,0.4295528,0.3019434,0.05529526,0.267555,0.3055515,0.5136843,0.3282748,0.3079857,0.4050603,0.5344992,0.1658405,0,0.5498383,0.2901895,0.3897735,0.1299655,0.2711788,0.4838806,0,0.1707836,0.2763658,0,0.02602545,0.08879951,0,0.003861684,0.6391509
41,0.337366936993138,0,0.332193977292576,0.649807399660668,0.5024614,0,0.4147364,0.2423175,0.1425406,0.07353387,0.2446269,0.1922317,0.4237218,0.3019434,0.05529526,0.2640663,0.2829579,0.4654186,0.30371,0.3513931,0.3675833,0.5433829,0.1684939,0,0.5713367,0.2425803,0.3378037,0.1109462,0.2345503,0.4376131,0,0.1714092,0.2265294,0,0.01253077,0.0779261,0,0.003267579,0.625052
42,0.325099048375206,0,0.365255937117904,0.649807399660668,0.5024614,0,0.3742524,0.2252047,0.1296747,0.05090806,0.2311322,0.1794792,0.4237218,0.2951961,0.04031946,0.2380354,0.3023238,0.5067892,0.3059432,0.3854989,0.4137879,0.5448635,0.1767196,0,0.4384374,0.2463588,0.3683741,0.115701,0.2306947,0.4376131,0,0.1764139,0.2491823,0,0.02281243,0.07905875,0,0.002970526,0.6344513
43,0.318965104066239,0,0.355809662882096,0.649807399660668,0.5024614,0,0.3544602,0.2145947,0.1327218,0.03393871,0.2230929,0.1766453,0.4237218,0.2918224,0.04204744,0.2224705,0.2765026,0.455076,0.2947774,0.3648288,0.3475613,0.4708331,0.1833532,0,0.4052126,0.2214207,0.3408607,0.117286,0.2049906,0.4106238,0,0.1807929,0.2210927,0,0.01349468,0.07113022,0,0.002970526,0.625052
44,0.312831159757273,0,0.355022473362445,0.63476556170556,0.5024614,0,0.4021414,0.2224666,0.1361076,0.02262581,0.2245285,0.1950656,0.4237218,0.2918224,0.04838336,0.2323998,0.2797302,0.4688662,0.2813784,0.3720633,0.4533185,0.4471434,0.1974165,0,0.4097729,0.2289777,0.3515604,0.1141161,0.2274817,0.4009847,0,0.1826697,0.223811,0,0.01381598,0.07837916,0,0.003267579,0.6438505
45,0.300563271139341,0,0.351086525764192,0.649807399660668,0.4823629,0,0.4075393,0.2224666,0.1391548,0.01696935,0.2164891,0.1823131,0.4237218,0.2867619,0.04838336,0.2391088,0.2861855,0.4861039,0.2880779,0.3813649,0.4425374,0.4352985,0.2037848,0,0.4384374,0.2297334,0.36226,0.1125311,0.2184853,0.4144794,0,0.1826697,0.2310599,0,0.01831421,0.07883222,0,0.002970526,0.6015538
46,0.294429326830375,0,0.351086525764192,0.649807399660668,0.4823629,0,0.3895464,0.2067228,0.1327218,0.0113129,0.211608,0.17759,0.4217781,0.2867619,0.04838336,0.2463545,0.2883373,0.4964465,0.3193421,0.3854989,0.4281626,0.4308567,0.1960898,0,0.4416948,0.2320005,0.3683741,0.1125311,0.2474024,0.4106238,0,0.1826697,0.2310599,0,0.01574379,0.07769957,0,0.003267579,0.6015538
47,0.294429326830375,0,0.338491493449782,0.649807399660668,0.4622645,0,0.3724531,0.2228089,0.1455877,0.005656452,0.2113209,0.1771176,0.4217781,0.2783277,0.0524153,0.2425975,0.2765026,0.4723137,0.3260416,0.3720633,0.3963328,0.4204925,0.2011313,0.2972798,0.4469065,0.2304891,0.36226,0.1109462,0.248045,0.4125516,0,0.1826697,0.2310599,0,0.01574379,0.07611386,0,0.002970526,0.6015538
48,0.294429326830375,0,0.321960513537118,0.649807399660668,0.4823629,0,0.3688545,0.232392,0.1554064,0,0.2133308,0.1771176,0.4198344,0.2985697,0.05011133,0.2358885,0.2732749,0.4619711,0.2880779,0.3648288,0.3927391,0.3982833,0.2029888,0.3000581,0.4319227,0.2410689,0.3897735,0.117286,0.2409764,0.4029125,0,0.1826697,0.2188274,0,0.01574379,0.07769957,0,0.002376421,0.5968541
49,0.288295382521409,0,0.322747703056769,0.619723723750452,0.4823629,0,0.3580588,0.2228089,0.1530364,0,0.2216573,0.1714499,0.4178907,0.2850751,0.05356729,0.2323998,0.272199,0.4585235,0.2791452,0.3637952,0.3855517,0.3864385,0.2067036,0.3083931,0.3954406,0.2335119,0.3714312,0.1109462,0.2306947,0.4144794,0,0.1826697,0.216109,0,0.017029,0.07928528,0,0.002376421,0.6015538
50,0.276027493903476,0,0.338491493449782,0.649807399660668,0.4622645,0,0.3310694,0.2228089,0.1564222,0,0.2236671,0.1671991,0.4159471,0.2817014,0.0524153,0.244476,0.281882,0.4895514,0.2836115,0.3823984,0.388632,0.3864385,0.2067036,0.2945015,0.3824112,0.2320005,0.3714312,0.1077763,0.2486876,0.4048403,0,0.1814185,0.2181478,0,0.02216983,0.07928528,0,0.002376421,0.6015538
51,0.26989354959451,0,0.308578291703057,0.649807399660668,0.4622645,0,0.3211733,0.2252047,0.1587922,0,0.2170633,0.1657821,0.4178907,0.2800146,0.04838336,0.2256908,0.2732749,0.4792088,0.2769121,0.3741303,0.3814447,0.3805161,0.2043155,0.2889449,0.3224763,0.2259549,0.3653171,0.09985156,0.2216983,0.38749,0,0.1807929,0.2163355,0,0.01574379,0.08472198,0,0.002376421,0.6015538
52,0.26989354959451,0,0.308578291703057,0.646799032069647,0.442166,0,0.3184744,0.2269159,0.162178,0,0.2268254,0.1671991,0.4178907,0.2800146,0.04607939,0.2173717,0.2765026,0.4792088,0.2813784,0.3792979,0.3639896,0.373113,0.2011313,0.3000581,0.4110758,0.2342676,0.4004731,0.1093612,0.2030628,0.3932735,0,0.1826697,0.2208661,0,0.0176716,0.08517504,0,0.002376421,0.6062534
53,0.257625660976578,0,0.308578291703057,0.649807399660668,0.4220676,0,0.3004815,0.2375259,0.1604851,0,0.2225186,0.1662544,0.4159471,0.2800146,0.04665538,0.2069056,0.2592884,0.4481809,0.3260416,0.3358905,0.364503,0.3671906,0.1934363,0.3111714,0.3198704,0.2199093,0.3683741,0.1014365,0.2268391,0.3759232,0,0.1820441,0.2192804,0,0.01606509,0.07815263,0,0.002079369,0.6062534
54,0.251491716667612,0,0.286536985152838,0.67086597279782,0.442166,0,0.3004815,0.2276004,0.1615008,0,0.2136179,0.1624759,0.4140034,0.2800146,0.03974347,0.1996599,0.2528331,0.4102579,0.30371,0.33279,0.364503,0.3538651,0.1913136,0.3083931,0.3146587,0.2138636,0.36226,0.09034188,0.2017776,0.3682119,0,0.1807929,0.2333252,0,0.01542249,0.07815263,0,0.002079369,0.6015538
55,0.251491716667612,0,0.292834501310044,0.649807399660668,0.4220676,0,0.2752914,0.2248624,0.1615008,0,0.2064399,0.1624759,0.410116,0.2833882,0.04089546,0.2114677,0.2678955,0.4309432,0.3260416,0.3503596,0.3696368,0.3390591,0.1913136,0.3000581,0.3615643,0.2244435,0.3790738,0.1014365,0.2268391,0.3624285,0,0.1820441,0.2081805,0,0.01413728,0.08223016,0,0.002079369,0.5968541
56,0.245357772358646,0,0.286536985152838,0.67086597279782,0.442166,0,0.266295,0.2214398,0.1631937,0,0.2075883,0.1577528,0.410116,0.2951961,0.04089546,0.2069056,0.2549849,0.4102579,0.2635131,0.3224549,0.3932525,0.3183306,0.1913136,0.2945015,0.327688,0.2047952,0.3255755,0.08558705,0.1619361,0.2930273,0,0.1795418,0.1975336,0,0.008996452,0.06614657,0,0.002079369,0.6015538
57,0.245357772358646,0,0.280239468995633,0.646799032069647,0.4019691,0,0.2923847,0.2214398,0.1631937,0,0.2095982,0.159642,0.410116,0.2833882,0.04089546,0.2130779,0.2635919,0.4240481,0.2322488,0.3513931,0.3757974,0.3198112,0.1899869,0.2889449,0.4443006,0.2380461,0.3790738,0.09826661,0.1355894,0.2660379,0,0.1820441,0.1995724,0,0.007389942,0.05617928,0,0.002376421,0.6015538
58,0.23922382804968,0,0.274729142358079,0.661840870024755,0.4019691,0,0.2869868,0.2145947,0.162178,0,0.2118951,0.1591697,0.410116,0.2698935,0.04780736,0.2192502,0.2678955,0.4309432,0.2255493,0.3637952,0.408654,0.3272142,0.18468,0.2945015,0.387623,0.2320005,0.3546174,0.09034188,0.1857125,0.347006,0,0.1820441,0.2186008,0,0.01574379,0.07362204,0,0.002673474,0.6015538
59,0.23922382804968,0,0.265282868122271,0.619723723750452,0.3617722,0,0.2842879,0.1944016,0.1598079,0,0.2052914,0.1568082,0.4081723,0.2614594,0.04607939,0.2192502,0.2678955,0.4309432,0.2322488,0.3679293,0.4030068,0.3420203,0.1780463,0.3028364,0.3771995,0.2312448,0.3454463,0.0840021,0.1869977,0.3720675,0,0.1826697,0.2287947,0,0.02474024,0.07905875,0,0.003267579,0.6062534
60,0.23922382804968,0,0.262134110043668,0.583623312658193,0.3617722,0,0.2707932,0.1865297,0.1547293,0,0.1866285,0.1563358,0.404285,0.2479647,0.04723137,0.2256908,0.2732749,0.4481809,0.2523473,0.3730968,0.3876053,0.3509039,0.1605336,0.3111714,0.3745936,0.2312448,0.3408607,0.08558705,0.1953515,0.3585729,0,0.1826697,0.2163355,0,0.02506154,0.07837916,0,0.003564632,0.6062534
