"x","y","site_id","water_year","diff_peak","diff_sm50","perd_peak","perd_sm50","perpast_peak","perpast_sm50","anom_peak","anom_sm50","mean","median","n","sd","ptile","date","water_day","swe","year","diff","perc_ch","perc","anomaly","today_diff","today_perc_ch","today_perc","today_anomaly","d_peak","d_sm50"
254.87,142.75,616,2021,-6.945,NA,-67.1338811019816,NA,32.8661188980184,NA,-1.54707839821746,NA,6.18275862068965,6.2,29,2.66968015279483,0.172413793103448,"2021-03-04",155,3.2,2021,-2.98275862068965,-48.2431678750697,51.7568321249303,-1.11727190149242,NA,NA,NA,NA,"M0 78.947368 L5.263158 70 L10.526316 14.736842 L15.789474 63.684211 L21.052632 57.894737 L26.315789 94.210526 L31.578947 81.052632 L36.842105 53.157895 L42.105263 59.473684 L47.368421 32.631579 L52.631579 30.526316 L57.894737 58.421053 L63.157895 49.473684 L68.421053 23.684211 L73.684211 67.368421 L78.947368 62.105263 L84.210526 0 L89.473684 68.421053 L94.736842 34.736842 L100 57.894737 L0 78.947368","M0 39.473684 L5.263158 35 L10.526316 7.368421 L15.789474 31.842105 L21.052632 28.947368 L26.315789 47.105263 L31.578947 40.526316 L36.842105 26.578947 L42.105263 29.736842 L47.368421 16.315789 L52.631579 15.263158 L57.894737 29.210526 L63.157895 24.736842 L68.421053 11.842105 L73.684211 33.684211 L78.947368 31.052632 L84.210526 0 L89.473684 34.210526 L94.736842 17.368421 L100 28.947368 L0 39.473684 Z"
256.51,157.04,676,2021,-2.26,NA,-38.5665529010239,NA,61.4334470989761,NA,-1.25000418624919,NA,4.09666666666667,4.05,30,1.40797808890997,0.466666666666667,"2021-03-04",155,3.8,2021,-0.296666666666667,-7.24165988608625,92.7583401139137,-0.210704036521151,NA,NA,NA,NA,"M0 33.157895 L5.263158 32.105263 L10.526316 18.421053 L15.789474 34.736842 L21.052632 33.684211 L26.315789 38.947368 L31.578947 31.052632 L36.842105 23.684211 L42.105263 21.578947 L47.368421 20 L52.631579 13.684211 L57.894737 30.526316 L63.157895 24.210526 L68.421053 12.631579 L73.684211 31.578947 L78.947368 29.473684 L84.210526 0 L89.473684 31.578947 L94.736842 30.526316 L100 17.894737 L0 33.157895","M0 16.578947 L5.263158 16.052632 L10.526316 9.210526 L15.789474 17.368421 L21.052632 16.842105 L26.315789 19.473684 L31.578947 15.526316 L36.842105 11.842105 L42.105263 10.789474 L47.368421 10 L52.631579 6.842105 L57.894737 15.263158 L63.157895 12.105263 L68.421053 6.315789 L73.684211 15.789474 L78.947368 14.736842 L84.210526 0 L89.473684 15.789474 L94.736842 15.263158 L100 8.947368 L0 16.578947 Z"
245.94,132.03,683,2021,-8.495,NA,-30.3447044115021,NA,69.6552955884979,NA,-1.05818755829274,NA,17.2793103448276,16.2,29,4.06117323920289,0.724137931034483,"2021-03-04",155,19.7,2021,2.42068965517241,14.0091798044303,114.00917980443,0.596056733508747,NA,NA,NA,NA,"M0 133.684211 L5.263158 102.105263 L10.526316 68.421053 L15.789474 136.315789 L21.052632 128.421053 L26.315789 108.421053 L31.578947 107.894737 L36.842105 52.105263 L42.105263 48.421053 L47.368421 107.894737 L52.631579 7.894737 L57.894737 82.105263 L63.157895 91.578947 L68.421053 24.210526 L73.684211 110 L78.947368 115.789474 L84.210526 0 L89.473684 20 L94.736842 75.263158 L100 69.473684 L0 133.684211","M0 66.842105 L5.263158 51.052632 L10.526316 34.210526 L15.789474 68.157895 L21.052632 64.210526 L26.315789 54.210526 L31.578947 53.947368 L36.842105 26.052632 L42.105263 24.210526 L47.368421 53.947368 L52.631579 3.947368 L57.894737 41.052632 L63.157895 45.789474 L68.421053 12.105263 L73.684211 55 L78.947368 57.894737 L84.210526 0 L89.473684 10 L94.736842 37.631579 L100 34.736842 L0 66.842105 Z"
299.42,186.21,716,2021,-7.545,NA,-48.8507607640013,NA,51.1492392359987,NA,-2.34776106449438,NA,10.7964285714286,10.6,28,3.48515179996267,0.178571428571429,"2021-03-04",155,8.1,2021,-2.69642857142857,-24.9751902084022,75.0248097915977,-0.773690423314545,NA,NA,NA,NA,"M0 20.526316 L5.263158 56.315789 L10.526316 31.052632 L15.789474 46.315789 L21.052632 51.578947 L26.315789 21.578947 L31.578947 33.684211 L36.842105 12.105263 L42.105263 14.736842 L47.368421 12.105263 L52.631579 8.421053 L57.894737 29.473684 L63.157895 37.368421 L68.421053 0 L73.684211 45.789474 L78.947368 7.368421 L84.210526 37.368421 L89.473684 48.947368 L94.736842 16.842105 L100 11.052632 L0 20.526316","M0 10.263158 L5.263158 28.157895 L10.526316 15.526316 L15.789474 23.157895 L21.052632 25.789474 L26.315789 10.789474 L31.578947 16.842105 L36.842105 6.052632 L42.105263 7.368421 L47.368421 6.052632 L52.631579 4.210526 L57.894737 14.736842 L63.157895 18.684211 L68.421053 0 L73.684211 22.894737 L78.947368 3.684211 L84.210526 18.684211 L89.473684 24.473684 L94.736842 8.421053 L100 5.526316 L0 10.263158 Z"
293.79,209.98,731,2021,-10.695,NA,-32.121940231266,NA,67.878059768734,NA,-1.37625328539036,NA,22.4357142857143,21.3,28,5.09263915322631,0.535714285714286,"2021-03-04",155,22.8,2021,0.364285714285714,1.62368672397326,101.623686723973,0.0715318135303049,NA,NA,NA,NA,"M0 142.631579 L5.263158 179.473684 L10.526316 127.368421 L15.789474 178.947368 L21.052632 157.894737 L26.315789 133.684211 L31.578947 156.315789 L36.842105 124.736842 L42.105263 113.157895 L47.368421 94.736842 L52.631579 0 L57.894737 180.526316 L63.157895 170 L68.421053 98.421053 L73.684211 171.052632 L78.947368 122.105263 L84.210526 133.157895 L89.473684 150 L94.736842 138.947368 L100 132.631579 L0 142.631579","M0 71.315789 L5.263158 89.736842 L10.526316 63.684211 L15.789474 89.473684 L21.052632 78.947368 L26.315789 66.842105 L31.578947 78.157895 L36.842105 62.368421 L42.105263 56.578947 L47.368421 47.368421 L52.631579 0 L57.894737 90.263158 L63.157895 85 L68.421053 49.210526 L73.684211 85.526316 L78.947368 61.052632 L84.210526 66.578947 L89.473684 75 L94.736842 69.473684 L100 66.315789 L0 71.315789 Z"
229.05,178.81,765,2021,-3.815,NA,-27.0279844137442,NA,72.9720155862558,NA,-0.936435833071504,NA,11.0965517241379,10.1,29,4.07549144789581,0.551724137931034,"2021-03-04",155,10.4,2021,-0.696551724137931,-6.27719080174021,93.7228091982598,-0.17091232629075,NA,NA,NA,NA,"M0 75.263158 L5.263158 76.842105 L10.526316 55.789474 L15.789474 65.789474 L21.052632 54.736842 L26.315789 27.894737 L31.578947 73.684211 L36.842105 51.578947 L42.105263 44.210526 L47.368421 74.736842 L52.631579 0 L57.894737 62.631579 L63.157895 78.421053 L68.421053 20 L73.684211 61.578947 L78.947368 54.736842 L84.210526 22.105263 L89.473684 59.473684 L94.736842 66.842105 L100 56.315789 L0 75.263158","M0 37.631579 L5.263158 38.421053 L10.526316 27.894737 L15.789474 32.894737 L21.052632 27.368421 L26.315789 13.947368 L31.578947 36.842105 L36.842105 25.789474 L42.105263 22.105263 L47.368421 37.368421 L52.631579 0 L57.894737 31.315789 L63.157895 39.210526 L68.421053 10 L73.684211 30.789474 L78.947368 27.368421 L84.210526 11.052632 L89.473684 29.736842 L94.736842 33.421053 L100 28.157895 L0 37.631579 Z"
255.39,178.01,826,2021,-6.56,NA,-64.5669291338583,NA,35.4330708661417,NA,-1.88150221094101,NA,6.97333333333333,6.8,30,2.04988365243146,0,"2021-03-04",155,3.7,2021,-3.27333333333333,-46.9407265774379,53.0592734225621,-1.59683859591284,NA,NA,NA,NA,"M0 74.210526 L5.263158 74.210526 L10.526316 48.947368 L15.789474 48.947368 L21.052632 50 L26.315789 69.473684 L31.578947 64.210526 L36.842105 53.157895 L42.105263 42.631579 L47.368421 19.473684 L52.631579 52.105263 L57.894737 60.526316 L63.157895 60.526316 L68.421053 60 L73.684211 67.368421 L78.947368 33.684211 L84.210526 0 L89.473684 66.315789 L94.736842 44.736842 L100 45.263158 L0 74.210526","M0 37.105263 L5.263158 37.105263 L10.526316 24.473684 L15.789474 24.473684 L21.052632 25 L26.315789 34.736842 L31.578947 32.105263 L36.842105 26.578947 L42.105263 21.315789 L47.368421 9.736842 L52.631579 26.052632 L57.894737 30.263158 L63.157895 30.263158 L68.421053 30 L73.684211 33.684211 L78.947368 16.842105 L84.210526 0 L89.473684 33.157895 L94.736842 22.368421 L100 22.631579 L0 37.105263 Z"
239.33,143.79,837,2021,-14.095,NA,-39.0497298794847,NA,60.9502701205153,NA,-1.44790260015119,NA,23.4,21.8,30,6.67992360063682,0.533333333333333,"2021-03-04",155,22.1,2021,-1.3,-5.55555555555554,94.4444444444445,-0.194613004237962,NA,NA,NA,NA,"M0 170 L5.263158 115.263158 L10.526316 95.789474 L15.789474 158.947368 L21.052632 148.947368 L26.315789 74.210526 L31.578947 140 L36.842105 57.368421 L42.105263 33.157895 L47.368421 149.473684 L52.631579 0 L57.894737 94.736842 L63.157895 121.052632 L68.421053 72.105263 L73.684211 152.105263 L78.947368 147.894737 L84.210526 0 L89.473684 60.526316 L94.736842 105.263158 L100 103.684211 L0 170","M0 85 L5.263158 57.631579 L10.526316 47.894737 L15.789474 79.473684 L21.052632 74.473684 L26.315789 37.105263 L31.578947 70 L36.842105 28.684211 L42.105263 16.578947 L47.368421 74.736842 L52.631579 0 L57.894737 47.368421 L63.157895 60.526316 L68.421053 36.052632 L73.684211 76.052632 L78.947368 73.947368 L84.210526 0 L89.473684 30.263158 L94.736842 52.631579 L100 51.842105 L0 85 Z"
225.29,170.94,868,2021,-9.055,NA,-28.1604727103094,NA,71.8395272896906,NA,-1.07211854796936,NA,23.6137931034483,22.6,29,6.62261947192731,0.551724137931034,"2021-03-04",155,23.7,2021,0.0862068965517224,0.365070093457937,100.365070093458,0.0130170390911249,NA,NA,NA,NA,"M0 142.631579 L5.263158 131.052632 L10.526316 95.263158 L15.789474 118.947368 L21.052632 112.631579 L26.315789 61.578947 L31.578947 136.842105 L36.842105 70 L42.105263 55.263158 L47.368421 133.684211 L52.631579 0 L57.894737 124.736842 L63.157895 106.842105 L68.421053 35.789474 L73.684211 140.526316 L78.947368 106.842105 L84.210526 12.105263 L89.473684 54.210526 L94.736842 70 L100 43.157895 L0 142.631579","M0 71.315789 L5.263158 65.526316 L10.526316 47.631579 L15.789474 59.473684 L21.052632 56.315789 L26.315789 30.789474 L31.578947 68.421053 L36.842105 35 L42.105263 27.631579 L47.368421 66.842105 L52.631579 0 L57.894737 62.368421 L63.157895 53.421053 L68.421053 17.894737 L73.684211 70.263158 L78.947368 53.421053 L84.210526 6.052632 L89.473684 27.105263 L94.736842 35 L100 21.578947 L0 71.315789 Z"
306.86,193.35,872,2021,-4.045,NA,-47.3376243417203,NA,52.6623756582797,NA,-1.95366958372878,NA,6.03214285714286,5.7,28,1.56135116495856,0.178571428571429,"2021-03-04",155,4.7,2021,-1.33214285714286,-22.0840734162226,77.9159265837774,-0.853198746726661,NA,NA,NA,NA,"M0 17.368421 L5.263158 30.526316 L10.526316 6.842105 L15.789474 35.263158 L21.052632 25.789474 L26.315789 18.421053 L31.578947 25.263158 L36.842105 6.315789 L42.105263 7.894737 L47.368421 4.736842 L52.631579 0 L57.894737 25.263158 L63.157895 28.421053 L68.421053 10 L73.684211 28.421053 L78.947368 7.368421 L84.210526 10 L89.473684 23.684211 L94.736842 2.105263 L100 7.894737 L0 17.368421","M0 8.684211 L5.263158 15.263158 L10.526316 3.421053 L15.789474 17.631579 L21.052632 12.894737 L26.315789 9.210526 L31.578947 12.631579 L36.842105 3.157895 L42.105263 3.947368 L47.368421 2.368421 L52.631579 0 L57.894737 12.631579 L63.157895 14.210526 L68.421053 5 L73.684211 14.210526 L78.947368 3.684211 L84.210526 5 L89.473684 11.842105 L94.736842 1.052632 L100 3.947368 L0 8.684211 Z"
