water_year,year,site_id,peak_swe,sm50_swe,peak_date,peak_day,peak_met,sm50_day,sm50_date,sm50_met,apr1_swe,ptile,date,water_day,swe,wy_n,text_peak,text_sm50,text_today,text_ptile,elev_ft,latitude,longitude,site_name,sntl_id,d_swe,id,apr1_x,apr1_y,apr1_met,peak_x,peak_y,sm50_x,sm50_y
2021,2021,1068,42.5,21.25,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,42.5,4,NA,TBD,42.5,no data,4640,47.16,-121.42,Sawmill Ridge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1069,33.3,16.65,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,33.3,3,NA,TBD,33.3,no data,3900,47.2,-121.78,Lynn Lake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1070,12.4,6.2,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,12.4,5,NA,TBD,12.4,no data,2080,61.11,-149.67,Anchorage Hillside,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1072,7.5,3.75,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,7.5,NA,NA,TBD,7.5,no data,1550,63.54,-150.99,Kantishna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1073,25.7,12.85,2021-03-19,170,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,25,5,NA,TBD,25,no data,1405,60.55,-145.75,Mt. Eyak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1077,15.1,7.55,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,15.1,4,NA,TBD,15.1,no data,6830,42.41,-121.68,Swan Lake Mtn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1078,15.7,7.85,2021-03-16,167,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,14.9,4,NA,TBD,14.9,no data,5400,42.79,-121.98,Sun Pass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1079,45.8,22.9,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,45.8,3,NA,TBD,45.8,no data,5580,45.98,-117.95,Milk Shakes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1080,60.3,30.15,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,60.3,1,NA,TBD,60.3,no data,5830,48.93,-121.2,Brown Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1081,21.5,10.75,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,21.5,4,NA,TBD,21.5,no data,4210,47.86,-117.04,Ragged Mountain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1082,33.9,16.95,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,33.9,4,NA,TBD,33.9,no data,9260,43.78,-110.93,Grand Targhee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1083,2.6,1.3,2021-02-02,125,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,0,4,NA,TBD,0,no data,8600,36.13,-105.53,Tres Ritos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1084,1.1,0.55,2021-02-14,137,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,0,4,NA,TBD,0,no data,420,45.25,-123.28,Miller Woods,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1085,64.4,32.2,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,64.4,4,NA,TBD,64.4,no data,5240,46.87,-121.53,Cayuse Pass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1089,14.6,7.3,2021-03-19,170,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,14.5,4,NA,TBD,14.5,no data,850,62.63,-150.78,Tokositna Valley,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1091,12.8,6.4,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,12.8,NA,NA,TBD,12.8,no data,3550,61.79,-149.28,Independence Mine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1092,20.8,10.4,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,20.8,NA,NA,TBD,20.8,no data,400,60.19,-149.62,Exit Glacier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1093,3.3,1.65,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,3.3,2,NA,TBD,3.3,no data,3320,62.07,-142.05,Chisana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1094,6.8,3.4,2021-03-15,166,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,6.7,NA,NA,TBD,6.7,no data,2710,63.31,-147.65,Monahan Flat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1096,7.7,3.85,2021-03-21,172,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,7.6,3,NA,TBD,7.6,no data,1610,61.35,-142.71,May Creek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1097,6.5,3.25,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,6.5,3,NA,TBD,6.5,no data,8736,39.68,-110.43,Timberline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1098,18.6,9.3,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,18.6,3,NA,TBD,18.6,no data,8270,41.86,-111.51,Usu Doc Daniel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1099,7.4,3.7,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,7.4,3,NA,TBD,7.4,no data,9749,38.07,-112.17,Jones Corral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1100,9.1,4.55,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,9.1,3,NA,TBD,9.1,no data,10540,38.7,-106.37,Saint Elmo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1101,12,6,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,12,3,NA,TBD,12,no data,10110,39.26,-106.63,Chapman Tunnel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1102,12.3,6.15,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,12.3,3,NA,TBD,12.3,no data,10720,38.29,-105.85,Hayden Pass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1103,32,16,2021-03-19,170,NA,173,2021-03-22,TBD,NA,0.5862068965517241,2021-03-22,173,31.8,29,NA,TBD,31.8,NA,1540,60.96,-149.09,Mt. Alyeska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1105,5.2,2.6,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,5.2,2,NA,TBD,5.2,no data,6335,45.5,-110.08,East Boulder Mine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1106,16,8,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,16,2,NA,TBD,16,no data,7600,46.48,-110.71,Elk Peak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1107,66,33,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,66,2,NA,TBD,66,no data,4870,47.71,-123.46,Buckinghorse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1109,5,2.5,2021-03-16,167,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,4.4,2,NA,TBD,4.4,no data,2500,45.9,-122.22,Calamity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1110,3.1,1.55,2021-02-03,126,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,0.4,2,NA,TBD,0.4,no data,7860,36.25,-115.63,Rainbow Canyon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1111,3.7,1.85,2021-03-18,169,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,3.2,2,NA,TBD,3.2,no data,8890,36.32,-115.7,Bristlecone Trail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1112,4.6,2.3,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,4.6,2,NA,TBD,4.6,no data,8626,36.31,-115.68,Lee Canyon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
