x,y,site_id,date,water_year,water_day,swe,year,peak_swe,sm50_swe,peak_date,peak_day,peak_met,sm50_day,sm50_date,sm50_met,apr1_swe,ptile_swe,wy_n,elev_ft,latitude,longitude,site_name,sntl_id
271.38,327.6,744,2021-04-01,2021,183,5.8,2021,6.2,3.1,2021-03-26,177,2021-03-26,187,2021-04-05,TBD,5.8,0.36666666666666664,30,8600,  36.00,-106.83,Senorita Divide #2,SNTL:744
239.96,391.47,755,2021-04-01,2021,183,0,2021,1.7,0.85,2021-02-02,125,2021-02-02,127,2021-02-04,2021-02-04,0,0.7666666666666667,30,8360,  32.92,-108.15,Signal Peak,SNTL:755
231.2,380.43,757,2021-04-01,2021,183,2.2,2021,7.7,3.85,2021-02-20,143,2021-02-20,173,2021-03-22,2021-03-22,2.2,0.1,30,9000,  33.37,-108.71,Silver Creek Divide,SNTL:757
293.26,334.79,854,2021-04-01,2021,183,8.8,2021,9.4,4.7,2021-03-27,178,2021-03-27,187,2021-04-05,TBD,8.8,0.14285714285714285,21,11120,  35.78,-105.54,Wesner Springs,SNTL:854
288.38,336.04,921,2021-04-01,2021,183,0.3,2021,1.7,0.85,2021-02-02,125,2021-02-02,128,2021-02-05,2021-02-05,0.3,NA,14,8210,  35.70,-105.81,Elk Cabin,SNTL:921
289.06,334.58,922,2021-04-01,2021,183,9.3,2021,9.6,4.8,2021-03-29,180,2021-03-29,187,2021-04-05,TBD,9.3,NA,14,11445,  35.77,-105.78,Santa Fe,SNTL:922
244.29,341.23,933,2021-04-01,2021,183,0,2021,3.7,1.85,2021-03-06,157,2021-03-06,172,2021-03-21,2021-03-21,0,NA,12,8460,  35.23,-108.27,Rice Park,SNTL:933
300.8,320.38,934,2021-04-01,2021,183,8.1,2021,8.6,4.3,2021-04-03,185,2021-04-03,187,2021-04-05,TBD,8.1,NA,12,10180,  36.47,-105.19,Tolby,SNTL:934
335.68,155.97,354,2021-04-01,2021,183,4.3,2021,4.9,2.45,2021-03-19,170,2021-03-19,187,2021-04-05,TBD,4.3,0.1,20,6890,  44.11,-103.98,Blind Park,SNTL:354
338.8,154.05,920,2021-04-01,2021,183,5.7,2021,6,3,2021-03-28,179,2021-03-28,187,2021-04-05,TBD,5.7,NA,14,6130,  44.21,-103.79,North Rapid Creek,SNTL:920
61.09,229.21,1049,2021-04-01,2021,183,22.9,2021,23.9,11.95,2021-03-27,178,2021-03-27,187,2021-04-05,TBD,22.9,NA,7,8017,  38.68,-119.96,Forestdale Creek,SNTL:1049
63.1,226.12,1050,2021-04-01,2021,183,14.3,2021,15.3,7.65,2021-03-27,178,2021-03-27,187,2021-04-05,TBD,14.3,NA,7,8557,  38.84,-119.89,Horse Meadow,SNTL:1050
62.45,228.66,1051,2021-04-01,2021,183,16.1,2021,17.2,8.6,2021-03-25,176,2021-03-25,187,2021-04-05,TBD,16.1,NA,7,8129,  38.72,-119.89,Burnside Lake,SNTL:1051
66.43,236.9,1052,2021-04-01,2021,183,14.6,2021,14.6,7.3,2021-04-01,183,2021-04-01,187,2021-04-05,TBD,14.6,NA,7,9313,  38.40,-119.54,Summit Meadow,SNTL:1052
60.5,228.83,1067,2021-04-01,2021,183,18.8,2021,20.3,10.15,2021-03-24,175,2021-03-24,187,2021-04-05,TBD,18.8,NA,6,8360,  38.69,-120.00,Carson Pass,SNTL:1067
67.34,156.06,1258,2021-04-01,2021,183,2.2,2021,6.3,3.15,2021-02-27,150,2021-02-27,181,2021-03-30,2021-03-30,2.2,NA,NA,5680,  41.99,-120.72,State Line,SNTL:1258
61.77,183.96,1277,2021-04-01,2021,183,6.9,2021,9.5,4.75,2021-03-25,176,2021-03-25,187,2021-04-05,TBD,6.9,NA,NA,7208,  40.69,-120.61,Fredonyer Peak,SNTL:1277
62.03,171.6,301,2021-04-01,2021,183,11,2021,14.3,7.15,2021-03-25,176,2021-03-25,187,2021-04-05,TBD,11,0.46153846153846156,26,6190,  41.24,-120.79,Adin Mtn,SNTL:301
61.36,230.87,356,2021-04-01,2021,183,21.5,2021,21.7,10.85,2021-03-29,180,2021-03-29,187,2021-04-05,TBD,21.5,0.26666666666666666,30,8067,  38.61,-119.92,Blue Lakes,SNTL:356
71.59,166.44,391,2021-04-01,2021,183,15.7,2021,16.5,8.25,2021-03-27,178,2021-03-27,187,2021-04-05,TBD,15.7,0.36666666666666664,30,7030,  41.58,-120.30,Cedar Pass,SNTL:391
58.02,213.73,428,2021-04-01,2021,183,26,2021,29.6,14.8,2021-03-24,175,2021-03-24,187,2021-04-05,TBD,26,0.3333333333333333,27,6894,  39.33,-120.37,Css Lab,SNTL:428
75.72,158.27,446,2021-04-01,2021,183,23.1,2021,24.7,12.35,2021-03-27,178,2021-03-27,187,2021-04-05,TBD,23.1,0.3,30,7360,  41.99,-120.18,Dismal Swamp,SNTL:446
62.99,232.64,462,2021-04-01,2021,183,26.3,2021,26.9,13.45,2021-03-27,178,2021-03-27,187,2021-04-05,TBD,26.3,0.26666666666666666,30,8661,  38.55,-119.80,Ebbetts Pass,SNTL:462
60.07,225.11,463,2021-04-01,2021,183,30,2021,32.4,16.2,2021-03-25,176,2021-03-25,187,2021-04-05,TBD,30,0.3333333333333333,30,7653,  38.85,-120.08,Echo Peak,SNTL:463
61,223.54,473,2021-04-01,2021,183,0.4,2021,7.5,3.75,2021-03-01,152,2021-03-01,179,2021-03-28,2021-03-28,0.4,0.5517241379310345,29,6242,  38.93,-120.05,Fallen Leaf,SNTL:473
62.34,225.7,508,2021-04-01,2021,183,11.3,2021,16,8,2021-03-17,168,2021-03-17,187,2021-04-05,TBD,11.3,0.43333333333333335,30,7742,  38.85,-119.94,Hagans Meadow,SNTL:508
63.05,224.3,518,2021-04-01,2021,183,14.9,2021,16.2,8.1,2021-03-27,178,2021-03-27,187,2021-04-05,TBD,14.9,0.2,30,8534,  38.92,-119.92,Heavenly Valley,SNTL:518
59.98,211.53,539,2021-04-01,2021,183,12.7,2021,16.2,8.1,2021-03-25,176,2021-03-25,187,2021-04-05,TBD,12.7,0.43333333333333335,30,6980,  39.45,-120.29,Independence Camp,SNTL:539
60.36,210.72,540,2021-04-01,2021,183,6.3,2021,9,4.5,2021-03-19,170,2021-03-19,187,2021-04-05,TBD,6.3,0.2,30,6436,  39.49,-120.28,Independence Creek,SNTL:540
59.55,211.87,541,2021-04-01,2021,183,26.1,2021,26.5,13.25,2021-04-05,187,TBD,187,2021-04-05,TBD,26.1,0.23333333333333334,30,8338,  39.43,-120.31,Independence Lake,SNTL:541
64.64,239.15,574,2021-04-01,2021,183,36.4,2021,36.6,18.3,2021-03-30,181,2021-03-30,187,2021-04-05,TBD,36.4,0.23809523809523808,21,9604,  38.28,-119.61,Leavitt Lake,SNTL:574
65.73,238.98,575,2021-04-01,2021,183,4.7,2021,8.1,4.05,2021-02-23,146,2021-02-23,185,2021-04-03,2021-04-03,4.7,0.5,30,7198,  38.30,-119.55,Leavitt Meadows,SNTL:575
69.43,236.75,587,2021-04-01,2021,183,9.6,2021,10,5,2021-04-02,184,2021-04-02,187,2021-04-05,TBD,9.6,0.2,30,9249,  38.44,-119.37,Lobdell Lake,SNTL:587
66.74,230.88,633,2021-04-01,2021,183,11.5,2021,12.2,6.1,2021-03-27,178,2021-03-27,187,2021-04-05,TBD,11.5,0.3,20,8306,  38.67,-119.61,Monitor Pass,SNTL:633
65.55,234.19,697,2021-04-01,2021,183,16.7,2021,17,8.5,2021-03-28,179,2021-03-28,187,2021-04-05,TBD,16.7,0.5,30,7736,  38.51,-119.63,Poison Flat,SNTL:697
60.08,221.72,724,2021-04-01,2021,183,15.5,2021,17,8.5,2021-03-26,177,2021-03-26,187,2021-04-05,TBD,15.5,0.23333333333333334,30,7619,  39.00,-120.13,Rubicon #2,SNTL:724
64.97,238.56,771,2021-04-01,2021,183,16.7,2021,17.2,8.6,2021-04-04,186,2021-04-04,187,2021-04-05,TBD,16.7,0.3,30,8770,  38.31,-119.60,Sonora Pass,SNTL:771
63.32,230.01,778,2021-04-01,2021,183,0,2021,6.5,3.25,2021-02-15,138,2021-02-15,173,2021-03-22,2021-03-22,0,0.6666666666666666,27,6063,  38.67,-119.82,Spratt Creek,SNTL:778
58.86,217.11,784,2021-04-01,2021,183,24.2,2021,24.8,12.4,2021-03-27,178,2021-03-27,187,2021-04-05,TBD,24.2,0.06666666666666667,30,8013,  39.19,-120.27,Squaw Valley G.C.,SNTL:784
60.69,218.04,809,2021-04-01,2021,183,1.5,2021,8.1,4.05,2021-02-22,145,2021-02-22,178,2021-03-27,2021-03-27,1.5,0.27586206896551724,29,6797,  39.17,-120.15,Tahoe City Cross,SNTL:809
